Image filename,Row,Column,Class 1 Value,Class 2 Value,Classification
crib_0004213_0004213_8427073_8427442_Row0_Col0,0,0,5.331310,-5.361153,0
crib_0004213_0004213_8427073_8427442_Row0_Col1,0,1,5.465546,-5.057914,0
crib_0004213_0004213_8427073_8427442_Row0_Col2,0,2,1.968038,-6.505973,0
crib_0004213_0004213_8427073_8427442_Row0_Col3,0,3,-0.203021,-2.363890,0
crib_0004213_0004213_8427073_8427442_Row0_Col4,0,4,5.046086,-6.677325,0
crib_0004213_0004214_8427650_8428079_Row0_Col0,0,0,2.748934,-2.188079,0
crib_0004213_0004214_8427650_8428079_Row0_Col1,0,1,4.999624,-4.536157,0
crib_0004213_0004214_8427650_8428079_Row0_Col2,0,2,2.310597,-2.040912,0
crib_0004213_0004214_8427650_8428079_Row0_Col3,0,3,2.715024,-3.422894,0
crib_0011532_0011533_23065993_23066423_Row0_Col0,0,0,1.238666,-5.494698,0
crib_0011532_0011533_23065993_23066423_Row0_Col1,0,1,-17.534254,12.670869,1
crib_0011532_0011533_23065993_23066423_Row0_Col2,0,2,-5.840026,4.234822,1
crib_0011532_0011533_23065993_23066423_Row0_Col3,0,3,2.099125,-3.936663,0
crib_0011533_0011533_23066643_23067009_Row0_Col0,0,0,2.441546,-3.439731,0
crib_0011533_0011533_23066643_23067009_Row0_Col1,0,1,0.533982,-3.235802,0
crib_0011533_0011533_23066643_23067009_Row0_Col2,0,2,-2.299125,0.059137,1
crib_0011533_0011533_23066643_23067009_Row0_Col3,0,3,-8.522808,5.700547,1
crib_0011533_0011533_23067217_23067643_Row0_Col0,0,0,0.928075,-5.403279,0
crib_0011533_0011533_23067217_23067643_Row0_Col1,0,1,-10.109071,8.308320,1
crib_0011533_0011533_23067217_23067643_Row0_Col2,0,2,-19.294979,13.609746,1
crib_0011533_0011533_23067217_23067643_Row0_Col3,0,3,-6.218158,2.504999,1
crib_0011533_0011534_23067862_23068239_Row0_Col0,0,0,8.590261,-9.155135,0
crib_0011533_0011534_23067862_23068239_Row0_Col1,0,1,-0.148733,-1.670600,0
crib_0011533_0011534_23067862_23068239_Row0_Col2,0,2,-8.636895,6.144124,1
crib_0011533_0011534_23067862_23068239_Row0_Col3,0,3,-0.814149,-0.382396,0
crib_0011579_0011579_23158080_23158513_Row0_Col0,0,0,0.760125,-4.833752,0
crib_0011579_0011579_23158080_23158513_Row0_Col1,0,1,-2.445053,2.099230,1
crib_0011579_0011579_23158080_23158513_Row0_Col2,0,2,3.363112,-4.862462,0
crib_0011579_0011579_23158080_23158513_Row0_Col3,0,3,-10.729515,10.295897,1
crib_0011579_0011579_23158722_23159122_Row0_Col0,0,0,6.717087,-6.960957,0
crib_0011579_0011579_23158722_23159122_Row0_Col1,0,1,-4.082776,4.013881,1
crib_0011579_0011579_23158722_23159122_Row0_Col2,0,2,0.644504,-0.551040,0
