Image#,Crib#,Class 1 Value,Class 2 Value,Classification
38000,1,5.785165,-6.329879,0
38001,2,8.835751,-9.839586,0
38001,3,6.473249,-7.166817,0
38002,4,6.372495,-7.039523,0
38002,5,1.277988,4.790014,0
38003,6,8.812567,-9.813828,0
38003,7,1.044823,5.287482,0
38004,8,6.998600,-7.810337,0
38004,9,1.213009,3.274652,0
38005,10,6.627966,-7.317999,0
38005,11,6.816190,-7.660446,0
38006,12,7.219153,-7.998077,0
38007,13,7.053141,-7.807062,0
38007,14,6.972884,-7.783023,0
38008,15,5.514555,-5.834008,0
38008,16,4.684529,-4.969427,0
38009,17,6.722078,-7.520173,0
38009,18,6.041287,-6.514225,0
38010,19,7.977626,-8.773157,0
38010,20,8.806127,-9.728628,0
38011,21,6.809861,-7.531736,0
38011,22,6.901468,-6.935721,0
38012,23,5.710452,-6.178792,0
38012,24,7.286170,-8.073751,0
38013,25,7.581862,-8.393813,0
38013,26,2.024094,2.663610,0
38014,27,6.920778,-7.653319,0
38015,28,4.630311,-4.750783,0
38015,29,7.162487,-7.668766,0
38016,30,4.579453,-3.035144,0
38016,31,3.529485,-0.335895,0
38017,32,6.010530,-3.894407,0
38017,33,7.810587,-8.806408,0
38018,34,1.858006,2.500363,0
38018,35,7.213997,-7.906338,0
38019,36,2.777266,1.294441,0
38019,37,6.806659,-7.538679,0
38020,38,5.816890,-6.033431,0
38020,39,5.829444,-6.235866,0
38021,40,5.295666,-5.682548,0
38022,41,6.662676,-7.395127,0
38022,42,6.490057,-7.040379,0
38023,43,3.778101,-3.062183,0
38023,44,6.546093,-7.294259,0
38024,45,6.220327,-6.728297,0
38024,46,5.840930,-6.216123,0
38025,47,4.843894,-4.745081,0
38025,48,6.664677,-7.306201,0
38026,49,8.386117,-9.347075,0
38027,50,8.997241,-9.988598,0
38027,51,6.641974,-7.354583,0
38028,52,6.081667,-6.787216,0
38028,53,4.106255,-2.645216,0
38029,54,7.085276,-7.679383,0
38029,55,5.704854,-5.996201,0
38030,56,4.819859,-4.616148,0
38030,57,4.970765,-4.793315,0
38031,58,6.032467,-6.501751,0
38031,59,5.679229,-6.291955,0
38032,60,6.376102,-6.957430,0
38033,61,1.596877,4.106840,0
38033,62,2.593315,0.822780,0
38034,63,6.003343,-6.478837,0
38034,64,6.545550,-7.249848,0
38035,65,5.379686,-5.179304,0
38035,66,5.192214,-5.611552,0
38036,67,4.913603,-4.817784,0
38036,68,5.622435,-6.189775,0
38037,69,3.634492,-1.049264,0
38037,70,6.222956,-6.820050,0
38038,71,6.479971,-7.120049,0
38038,72,4.778254,-3.229356,0
38039,73,3.834345,-1.855278,0
38039,74,4.956347,-4.816222,0
38040,75,4.883226,-4.175811,0
38041,76,4.663401,-4.946593,0
38041,77,3.365952,-0.559224,0
38042,78,6.721627,-7.344511,0
38042,79,5.343601,-4.982648,0
38043,80,5.648321,-5.631529,0
38043,81,4.718341,-4.569514,0
38044,82,5.076390,-4.722039,0
38044,83,8.012201,-8.824564,0
38045,84,7.398508,-8.228956,0
38045,85,8.504230,-9.493396,0
38046,86,8.227063,-9.050641,0
38046,87,8.970666,-9.948737,0
38047,88,5.849959,-6.227621,0
38048,89,7.957880,-8.832308,0
38048,90,7.241019,-7.999344,0
38049,91,7.844244,-8.741208,0
38049,92,5.374432,-5.874928,0
38050,93,6.124861,-6.700777,0
38051,94,4.198496,-3.788439,0
38051,95,2.659654,0.605328,0
38052,96,7.310388,-8.216590,0
38052,97,7.979822,-8.825422,0
38053,98,8.711065,-9.551284,0
38053,99,9.031239,-10.009416,0
38054,100,3.079556,0.144572,0
38054,101,7.075351,-7.922729,0
38055,102,4.771927,-2.823741,0
38055,103,7.900192,-8.840126,0
38056,104,5.651259,-5.799014,0
38056,105,7.676511,-8.516334,0
38057,106,6.872407,-7.608729,0
38058,107,5.757641,-6.520463,0
38058,108,4.860493,-4.511231,0
38059,109,4.981273,-5.534669,0
38059,110,7.117077,-8.015374,0
38060,111,7.490596,-8.263927,0
38060,112,6.346211,-7.074044,0
38061,113,5.616321,-6.217758,0
38061,114,5.262988,-5.582818,0
38062,115,6.700982,-7.258922,0
38063,116,5.606968,-6.363902,0
38064,117,6.458574,-7.100786,0
38064,118,6.797575,-7.531304,0
38065,119,3.427172,-0.453882,0
38065,120,7.580212,-8.397269,0
38066,121,6.054642,-6.670374,0
38066,122,5.003745,-5.371172,0
38067,123,5.432259,-5.847432,0
38067,124,5.574621,-6.167009,0
38068,125,4.851517,-4.361892,0
