Image#,Crib#,Row,Column,Class 1 Value,Class 2 Value,Classification
8000,1,0,0,0.224397,-0.844640,0
8000,1,0,1,-5.070759,3.452083,1
8000,1,0,2,1.284443,-1.352875,0
8000,1,0,3,0.053452,-1.930831,0
8000,1,1,0,-0.124103,0.138300,0
8000,1,1,1,-4.892309,2.745042,1
8000,1,1,2,-7.465266,6.070873,1
8000,1,1,3,-4.737703,3.187935,1
8000,1,2,0,-2.093855,1.382015,1
8000,1,2,1,-6.137500,4.671434,1
8000,1,2,2,-8.941367,6.833876,1
8000,1,2,3,-8.804512,6.297151,1
8000,1,3,0,-4.345698,2.959859,1
8000,1,3,1,-8.313579,6.006964,1
8000,1,3,2,-6.930117,5.009877,1
8000,1,3,3,-0.863037,0.252927,0
8001,2,0,0,-2.326754,1.677376,1
8001,2,0,1,-2.429777,1.047961,1
8001,2,0,2,-2.004734,1.563472,1
8001,2,0,3,-4.896046,3.303822,1
8001,2,1,0,-6.057311,3.806773,1
8001,2,1,1,-6.585408,4.186769,1
8001,2,1,2,-4.172683,2.071727,1
8001,2,1,3,-7.188996,4.328729,1
8001,3,0,0,4.472972,-3.801004,0
8001,3,0,1,-3.705312,2.439236,1
8001,3,0,2,-6.558266,4.608634,1
8001,3,0,3,-5.857033,4.817922,1
8001,3,1,0,1.363368,-1.578964,0
8001,3,1,1,-5.072406,3.686008,1
8001,3,1,2,-6.201224,4.367515,1
8001,3,1,3,-7.002220,5.299912,1
8001,3,2,0,-4.997276,2.721823,1
8001,3,2,1,-0.515090,0.398973,0
8001,3,2,2,-6.361944,4.540954,1
8001,3,2,3,-1.513194,0.911518,1
8001,3,3,0,-3.266480,2.426560,1
8001,3,3,1,4.206394,-3.861030,0
8001,3,3,2,-0.703665,-0.251514,0
8001,3,3,3,-1.294931,1.437533,1
8002,4,0,0,5.517739,-3.650931,0
8002,4,0,1,-4.950862,3.739899,1
8002,4,0,2,-1.334796,1.068982,1
8002,4,0,3,-4.797203,2.888633,1
8003,5,0,0,-1.262421,0.400398,1
8003,5,0,1,0.399278,-0.135110,0
8003,5,0,2,-7.687454,5.959172,1
8003,5,0,3,-7.288129,5.167720,1
8003,6,0,0,-2.807482,2.083629,1
8003,6,0,1,-1.430803,0.386062,1
8003,6,0,2,1.043956,-0.999742,0
8003,6,0,3,-4.134406,2.416900,1
8004,7,0,0,-3.120114,2.151878,1
8004,7,0,1,-3.506441,2.016726,1
8004,7,0,2,-5.499703,2.997490,1
8004,7,0,3,-0.480698,0.608859,0
8004,7,1,0,4.412133,-3.020058,0
8004,7,1,1,-6.705316,5.130907,1
8004,7,1,2,-3.435642,1.754987,1
8004,7,1,3,-5.626584,4.046488,1
8004,8,0,0,0.045736,-0.789462,0
8004,8,0,1,0.665583,-0.896614,0
8004,8,0,2,-5.392767,3.420559,1
8004,8,0,3,-2.487278,1.496437,1
8004,8,1,0,2.788742,-3.135176,0
8004,8,1,1,-1.694148,0.266441,1
8004,8,1,2,-2.573420,0.778734,1
8004,8,1,3,-0.065908,-0.922199,0
8005,9,0,0,-1.797578,0.854728,1
8005,9,0,1,-7.174404,5.408363,1
8005,9,0,2,1.782562,-1.656328,0
8005,9,0,3,5.210535,-3.983772,0
8005,10,0,0,-2.173669,1.750028,1
8005,10,0,1,-3.172979,2.521461,1
8005,10,0,2,-1.058445,-0.566140,1
8005,10,0,3,-0.741467,0.501860,0
8006,11,0,0,3.777595,-3.421240,0
8006,11,0,1,-2.747844,1.178315,1
8006,11,0,2,0.534260,-0.909151,0
8006,11,0,3,1.478548,-2.269011,0
8006,11,1,0,3.965812,-3.498749,0
8006,11,1,1,2.000077,-1.842236,0
8006,11,1,2,1.598532,-1.723274,0
8006,11,1,3,-6.808611,4.193715,1
8006,11,2,0,3.190419,-2.844228,0
8006,11,2,1,3.840226,-2.732184,0
8006,11,2,2,-4.596616,2.709960,1
8006,11,2,3,-9.893389,6.586598,1
