Image#,Crib#,Class 1 Value,Class 2 Value,Classification
52000,1,5.324262,-10.074096,0
52001,2,-0.576280,-1.669896,0
52001,3,5.009735,-9.584055,0
52002,4,5.526637,-10.314831,0
52002,5,11.104997,-21.470076,0
52003,6,7.231929,-13.868270,0
52003,7,5.892375,-11.269156,0
52004,8,2.754410,-5.998218,0
52004,9,6.609879,-12.806543,0
52005,10,5.826322,-11.289231,0
52005,11,5.817246,-11.084044,0
52006,12,4.959379,-9.530876,0
52007,13,7.506588,-14.525943,0
52007,14,8.713490,-17.031145,0
52008,15,5.773680,-10.966232,0
52008,16,5.686995,-10.837049,0
52009,17,7.318022,-14.227588,0
52009,18,6.651072,-12.807605,0
52010,19,7.502141,-14.499104,0
52010,20,7.302223,-14.161626,0
52011,21,3.652977,-7.141320,0
52011,22,5.794819,-11.150108,0
52012,23,6.737555,-13.062320,0
52012,24,5.527129,-10.588396,0
52013,25,-6.273572,3.632078,1
52013,26,4.314137,-8.128098,0
52014,27,-0.713907,-2.402436,0
52014,28,1.067085,-3.804642,0
52015,29,7.079153,-13.695800,0
52015,30,-0.069284,-2.790149,0
52016,31,5.827567,-11.237058,0
52017,32,4.367683,-8.463181,0
52017,33,-5.559478,2.616066,1
52018,34,5.238877,-10.111266,0
52018,35,0.547454,-3.246581,0
52019,36,-2.168676,-0.600397,1
52019,37,1.323669,-4.885530,0
52020,38,5.583354,-10.832565,0
52020,39,4.321820,-8.364717,0
52021,40,5.376253,-10.344701,0
52021,41,4.192717,-7.981841,0
52022,42,1.178731,-3.780575,0
52022,43,3.956818,-7.375115,0
52023,44,-0.181185,-2.036462,0
52023,45,4.184959,-7.855712,0
52024,46,4.678619,-8.909955,0
52024,47,4.339292,-8.176353,0
52025,48,1.827680,-4.501036,0
52025,49,4.136779,-8.004765,0
52026,50,-1.297898,-0.998098,1
52026,51,1.158403,-3.653451,0
52027,52,0.900645,-3.568311,0
52027,53,3.432352,-6.529852,0
52028,54,-4.629255,2.741734,1
52028,55,3.569338,-6.840538,0
52029,56,0.863535,-3.628041,0
52029,57,-0.106160,-3.107410,0
52030,58,-6.269434,4.109746,1
52031,59,-1.497187,-1.275936,1
52031,60,4.358546,-8.359042,0
52032,61,0.584028,-3.032650,0
52032,62,-6.143116,3.805613,1
52033,63,0.564513,-2.899076,0
52033,64,-5.753108,3.423378,1
52034,65,0.199014,-2.440356,0
52034,66,5.724175,-11.055943,0
52035,67,-5.230785,2.291477,1
52035,68,4.039867,-7.589077,0
52036,69,4.073667,-7.873884,0
52036,70,-2.960035,0.334777,1
52037,71,4.326040,-8.162161,0
52037,72,4.916874,-9.470557,0
52038,73,1.592105,-4.904919,0
52038,74,5.320007,-10.341900,0
52039,75,3.955451,-7.609722,0
52039,76,4.204550,-7.972468,0
52040,77,2.986869,-7.219212,0
52040,78,-0.831050,-1.721456,0
52041,79,0.579389,-3.189918,0
52041,80,6.156117,-11.951918,0
52042,81,3.623664,-6.993826,0
52042,82,4.282210,-8.148611,0
52043,83,-1.745483,-1.329132,1
52043,84,3.538434,-6.885211,0
52044,85,4.232232,-8.941500,0
52044,86,6.588407,-12.724415,0
52045,87,7.321392,-14.142674,0
52045,88,4.216280,-7.812874,0
52046,89,4.254591,-8.133570,0
52047,90,0.983333,-3.886304,0
52047,91,2.979704,-5.993699,0
52048,92,3.507810,-6.811703,0
52048,93,4.023354,-7.583231,0
52049,94,3.850751,-7.336457,0
52049,95,-2.085648,-0.117473,1
52050,96,5.791758,-11.221556,0
52050,97,7.374891,-14.086429,0
52051,98,4.279521,-8.353050,0
52051,99,3.310698,-6.247046,0
52052,100,2.977325,-5.666866,0
52052,101,7.025642,-13.650077,0
52053,102,1.782011,-4.830070,0
52053,103,-0.715053,-2.033818,0
52054,104,2.470936,-5.455037,0
52054,105,1.801103,-4.473689,0
52055,106,1.612102,-4.731314,0
52055,107,2.190063,-4.820977,0
52056,108,3.017383,-6.143879,0
52056,109,6.968845,-13.438973,0
52057,110,0.403438,-2.987954,0
