FrameNumber,timeOnFrame,lastUpdated,SMI,SCI,STI,FTI,Turnouts,Tags
38000,0,,1,-1,-1,-1,-1,
38001,0,,1,-1,-1,-1,-1,
38002,0,,1,-1,-1,-1,-1,
38003,0,,1,-1,-1,-1,-1,
38004,0,,1,-1,-1,-1,-1,
38005,0,,1,-1,-1,-1,-1,
38006,0,,1,-1,-1,-1,-1,
38007,0,,1,-1,-1,-1,-1,
38008,0,,1,-1,-1,-1,-1,
38009,0,,1,-1,-1,-1,-1,
38010,0,,1,-1,-1,-1,-1,
38011,0,,1,-1,-1,-1,-1,
38012,0,,1,-1,-1,-1,-1,
38013,0,,1,-1,-1,-1,-1,
38014,0,,1,-1,-1,-1,-1,
38015,0,,1,-1,-1,-1,-1,
38016,0,,1,-1,-1,-1,-1,
38017,0,,1,-1,-1,-1,-1,
38018,0,,1,-1,-1,-1,-1,
38019,0,,1,-1,-1,-1,-1,
38020,0,,1,-1,-1,-1,-1,
38021,0,,1,-1,-1,-1,-1,
38022,0,,1,-1,-1,-1,-1,
38023,0,,1,-1,-1,-1,-1,
38024,0,,1,-1,-1,-1,-1,
38025,0,,1,-1,-1,-1,-1,
38026,0,,1,-1,-1,-1,-1,
38027,0,,1,-1,-1,-1,-1,
38028,0,,1,-1,-1,-1,-1,
38029,0,,1,-1,-1,-1,-1,
38030,0,,1,-1,-1,-1,-1,
38031,0,,1,-1,-1,-1,-1,
38032,0,,1,-1,-1,-1,-1,
38033,0,,1,-1,-1,-1,-1,
38034,0,,1,-1,-1,-1,-1,
38035,0,,1,-1,-1,-1,-1,
38036,0,,1,-1,-1,-1,-1,
38037,0,,1,-1,-1,-1,-1,
38038,0,,1,-1,-1,-1,-1,
38039,0,,1,-1,-1,-1,-1,
38040,0,,1,-1,-1,-1,-1,
38041,0,,1,-1,-1,-1,-1,
38042,0,,1,-1,-1,-1,-1,
38043,0,,1,-1,-1,-1,-1,
38044,0,,1,-1,-1,-1,-1,
38045,0,,1,-1,-1,-1,-1,
38046,0,,1,-1,-1,-1,-1,
38047,0,,1,-1,-1,-1,-1,
38048,0,,1,-1,-1,-1,-1,
38049,0,,1,-1,-1,-1,-1,
38050,0,,1,-1,-1,-1,-1,
38051,0,,1,-1,-1,-1,-1,
38052,0,,1,-1,-1,-1,-1,
38053,0,,1,-1,-1,-1,-1,
38054,0,,1,-1,-1,-1,-1,
38055,0,,1,-1,-1,-1,-1,
38056,0,,1,-1,-1,-1,-1,
38057,0,,1,-1,-1,-1,-1,
38058,0,,1,-1,-1,-1,-1,
38059,0,,1,-1,-1,-1,-1,
38060,0,,1,-1,-1,-1,-1,
38061,0,,1,-1,-1,-1,-1,
38062,0,,1,-1,-1,-1,-1,
38063,0,,1,-1,-1,-1,-1,
38064,0,,1,-1,-1,-1,-1,
38065,0,,1,-1,-1,-1,-1,
38066,0,,1,-1,-1,-1,-1,
38067,0,,1,-1,-1,-1,-1,
38068,0,,1,-1,-1,-1,-1,
38069,0,,1,-1,-1,-1,-1,
38070,0,,1,-1,-1,-1,-1,
38071,0,,1,-1,-1,-1,-1,
38072,0,,1,-1,-1,-1,-1,
38073,0,,1,-1,-1,-1,-1,
38074,0,,1,-1,-1,-1,-1,
38075,0,,1,-1,-1,-1,-1,
38076,0,,1,-1,-1,-1,-1,
38077,0,,1,-1,-1,-1,-1,
38078,0,,1,-1,-1,-1,-1,
38079,0,,1,-1,-1,-1,-1,
38080,0,,1,-1,-1,-1,-1,
38081,0,,1,-1,-1,-1,-1,
38082,0,,1,-1,-1,-1,-1,
38083,0,,1,-1,-1,-1,-1,
38084,0,,1,-1,-1,-1,-1,
38085,0,,1,-1,-1,-1,-1,
38086,0,,1,-1,-1,-1,-1,
38087,0,,1,-1,-1,-1,-1,
38088,0,,1,-1,-1,-1,-1,
38089,0,,1,-1,-1,-1,-1,
38090,0,,1,-1,-1,-1,-1,
38091,0,,1,-1,-1,-1,-1,
38092,0,,1,-1,-1,-1,-1,
38093,0,,1,-1,-1,-1,-1,
38094,0,,1,-1,-1,-1,-1,
38095,0,,1,-1,-1,-1,-1,
38096,0,,1,-1,-1,-1,-1,
38097,0,,1,-1,-1,-1,-1,
38098,0,,1,-1,-1,-1,-1,
38099,0,,1,-1,-1,-1,-1,
38100,0,,1,-1,-1,-1,-1,
38101,0,,1,-1,-1,-1,-1,
38102,0,,1,-1,-1,-1,-1,
38103,0,,1,-1,-1,-1,-1,
38104,0,,1,-1,-1,-1,-1,
38105,0,,1,-1,-1,-1,-1,
38106,0,,1,-1,-1,-1,-1,
38107,0,,1,-1,-1,-1,-1,
38108,0,,1,-1,-1,-1,-1,
38109,0,,1,-1,-1,-1,-1,
38110,0,,1,-1,-1,-1,-1,
38111,0,,1,-1,-1,-1,-1,
38112,0,,1,-1,-1,-1,-1,
38113,0,,1,-1,-1,-1,-1,
38114,0,,1,-1,-1,-1,-1,
38115,0,,1,-1,-1,-1,-1,
38116,0,,1,-1,-1,-1,-1,
